ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
KK Nagar ATM,2011-02-12,227,197,30,802500,685800,116700,Saturday,National_holiday,True,WHH,Saturday,167,167,2011-02,2011-02
Christ College ATM,2011-02-12,99,49,50,452900,259800,193100,Saturday,National_holiday,True,WHH,Saturday,-1,-1,2011-02,2011-02
KK Nagar ATM,2011-03-01,223,186,37,1041900,888500,153400,Tuesday,National_holiday,,WWW,Tuesday,149,149,2011-03,2011-03
Airport ATM,2011-03-01,119,101,18,519100,465200,53900,Tuesday,National_holiday,,WWW,Tuesday,83,83,2011-03,2011-03
Christ College ATM,2011-03-01,92,39,53,479800,228700,251100,Tuesday,National_holiday,,WWW,Tuesday,-14,-14,2011-03,2011-03
Big Street ATM,2011-03-01,29,14,15,105800,65400,40400,Tuesday,National_holiday,,WWW,Tuesday,-1,-1,2011-03,2011-03
Mount Road ATM,2011-03-01,197,107,90,730000,505100,224900,Tuesday,National_holiday,,WWW,Tuesday,17,17,2011-03,2011-03
Big Street ATM,2011-03-02,37,15,22,143300,66700,76600,Wednesday,National_holiday,,WWW,Wednesday,-7,-7,2011-03,2011-03
Mount Road ATM,2011-03-02,153,118,35,610800,506500,104300,Wednesday,National_holiday,,WWW,Wednesday,83,83,2011-03,2011-03
Airport ATM,2011-03-02,116,94,22,616800,548900,67900,Wednesday,National_holiday,,WWW,Wednesday,72,72,2011-03,2011-03
KK Nagar ATM,2011-03-02,243,197,46,1043200,858500,184700,Wednesday,National_holiday,,WWW,Wednesday,151,151,2011-03,2011-03
Christ College ATM,2011-03-02,118,41,77,638200,272200,366000,Wednesday,National_holiday,,WWW,Wednesday,-36,-36,2011-03,2011-03
Christ College ATM,2011-03-03,94,49,45,405100,210300,194800,Thursday,Hindu_festival,,WWW,Thursday,4,4,2011-03,2011-03
KK Nagar ATM,2011-03-03,242,193,49,1043500,843600,199900,Thursday,Hindu_festival,,WWW,Thursday,144,144,2011-03,2011-03
Airport ATM,2011-03-03,66,52,14,342800,293700,49100,Thursday,Hindu_festival,,WWW,Thursday,38,38,2011-03,2011-03
Big Street ATM,2011-03-03,29,9,20,109100,41400,67700,Thursday,Hindu_festival,,WWW,Thursday,-11,-11,2011-03,2011-03
Mount Road ATM,2011-03-03,212,116,96,766800,474100,292700,Thursday,Hindu_festival,,WWW,Thursday,20,20,2011-03,2011-03
Big Street ATM,2011-03-04,41,25,16,167100,96900,70200,Friday,National_holiday,,WWH,Friday,9,9,2011-03,2011-03
Mount Road ATM,2011-03-04,203,101,102,738900,492200,246700,Friday,National_holiday,,WWH,Friday,-1,-1,2011-03,2011-03
Airport ATM,2011-03-04,108,80,28,433000,341100,91900,Friday,National_holiday,,WWH,Friday,52,52,2011-03,2011-03
KK Nagar ATM,2011-03-04,203,174,29,718600,619200,99400,Friday,National_holiday,,WWH,Friday,145,145,2011-03,2011-03
Christ College ATM,2011-03-04,88,49,39,423900,257600,166300,Friday,National_holiday,,WWH,Friday,10,10,2011-03,2011-03
