ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
KK Nagar ATM,2016-09-12,10,5,5,26700,7700,19000,MONDAY,National_holiday,,HWH,Monday,0,0,2016-09,2016-09
Christ College ATM,2016-09-12,172,79,93,988700,593500,395200,MONDAY,National_holiday,,HWH,Monday,-14,-14,2016-09,2016-09
Big Street ATM,2016-10-01,105,23,82,381000,128500,252500,SATURDAY,National_holiday,True,WHH,Saturday,-59,-59,2016-10,2016-10
Mount Road ATM,2016-10-01,112,50,62,649000,406000,243000,SATURDAY,National_holiday,True,WHH,Saturday,-12,-12,2016-10,2016-10
Airport ATM,2016-10-01,95,71,24,374400,316700,57700,SATURDAY,National_holiday,True,WHH,Saturday,47,47,2016-10,2016-10
KK Nagar ATM,2016-10-01,126,79,47,682600,437100,245500,SATURDAY,National_holiday,True,WHH,Saturday,32,32,2016-10,2016-10
Christ College ATM,2016-10-01,202,70,132,1207300,561000,646300,SATURDAY,National_holiday,True,WHH,Saturday,-62,-62,2016-10,2016-10
Mount Road ATM,2016-10-02,113,28,85,424000,225500,198500,SUNDAY,Normal_Day,True,HHW,Sunday,-57,-57,2016-10,2016-10
Airport ATM,2016-10-02,47,31,16,262500,201500,61000,SUNDAY,Normal_Day,True,HHW,Sunday,15,15,2016-10,2016-10
KK Nagar ATM,2016-10-02,96,81,15,531600,448600,83000,SUNDAY,Normal_Day,True,HHW,Sunday,66,66,2016-10,2016-10
Christ College ATM,2016-10-02,220,56,164,876500,271700,604800,SUNDAY,Normal_Day,True,HHW,Sunday,-108,-108,2016-10,2016-10
Christ College ATM,2016-10-03,82,46,36,444600,321000,123600,MONDAY,National_holiday,,HWW,Monday,10,10,2016-10,2016-10
Airport ATM,2016-10-03,61,43,18,315400,210100,105300,MONDAY,National_holiday,,HWW,Monday,25,25,2016-10,2016-10
KK Nagar ATM,2016-10-03,80,57,23,626700,516700,110000,MONDAY,National_holiday,,HWW,Monday,34,34,2016-10,2016-10
Big Street ATM,2016-10-03,96,25,71,439200,182400,256800,MONDAY,National_holiday,,HWW,Monday,-46,-46,2016-10,2016-10
Mount Road ATM,2016-10-03,87,40,47,523500,319000,204500,MONDAY,National_holiday,,HWW,Monday,-7,-7,2016-10,2016-10
Big Street ATM,2016-10-04,102,16,86,316100,66600,249500,TUESDAY,National_holiday,,WWW,Tuesday,-70,-70,2016-10,2016-10
Mount Road ATM,2016-10-04,39,18,21,210000,127000,83000,TUESDAY,National_holiday,,WWW,Tuesday,-3,-3,2016-10,2016-10
Airport ATM,2016-10-04,77,58,19,475400,398900,76500,TUESDAY,National_holiday,,WWW,Tuesday,39,39,2016-10,2016-10
KK Nagar ATM,2016-10-04,84,66,18,550500,448600,101900,TUESDAY,National_holiday,,WWW,Tuesday,48,48,2016-10,2016-10
Christ College ATM,2016-10-04,140,72,68,639300,349100,290200,TUESDAY,National_holiday,,WWW,Tuesday,4,4,2016-10,2016-10
Mount Road ATM,2016-10-05,77,47,30,532500,412000,120500,WEDNESDAY,National_holiday,,WWW,Wednesday,17,17,2016-10,2016-10
Big Street ATM,2016-10-05,132,39,93,527600,222100,305500,WEDNESDAY,National_holiday,,WWW,Wednesday,-54,-54,2016-10,2016-10
KK Nagar ATM,2016-10-05,73,61,12,503800,426500,77300,WEDNESDAY,National_holiday,,WWW,Wednesday,49,49,2016-10,2016-10
Christ College ATM,2016-10-05,17,10,7,90800,61400,29400,WEDNESDAY,National_holiday,,WWW,Wednesday,3,3,2016-10,2016-10
Big Street ATM,2016-10-06,137,39,98,633100,298400,334700,THURSDAY,National_holiday,,WWW,Thursday,-59,-59,2016-10,2016-10
Mount Road ATM,2016-10-06,45,40,5,335900,316400,19500,THURSDAY,National_holiday,,WWW,Thursday,35,35,2016-10,2016-10
Airport ATM,2016-10-06,67,42,25,464500,344500,120000,THURSDAY,National_holiday,,WWW,Thursday,17,17,2016-10,2016-10
KK Nagar ATM,2016-10-06,111,92,19,914600,819300,95300,THURSDAY,National_holiday,,WWW,Thursday,73,73,2016-10,2016-10
Christ College ATM,2016-10-06,178,87,91,997400,651500,345900,THURSDAY,National_holiday,,WWW,Thursday,-4,-4,2016-10,2016-10
Christ College ATM,2016-10-07,208,97,111,1132900,663000,469900,FRIDAY,National_holiday,,WWH,Friday,-14,-14,2016-10,2016-10
KK Nagar ATM,2016-10-07,112,90,22,768600,651100,117500,FRIDAY,National_holiday,,WWH,Friday,68,68,2016-10,2016-10
Mount Road ATM,2016-10-07,114,62,52,785800,486800,299000,FRIDAY,National_holiday,,WWH,Friday,10,10,2016-10,2016-10
Airport ATM,2016-10-07,85,57,28,555600,362000,193600,FRIDAY,National_holiday,,WWH,Friday,29,29,2016-10,2016-10
Big Street ATM,2016-10-07,95,27,68,189900,66800,123100,FRIDAY,National_holiday,,WWH,Friday,-41,-41,2016-10,2016-10
Big Street ATM,2016-10-08,60,14,46,161500,46300,115200,SATURDAY,National_holiday,True,WHH,Saturday,-32,-32,2016-10,2016-10
Mount Road ATM,2016-10-08,68,25,43,301500,190500,111000,SATURDAY,National_holiday,True,WHH,Saturday,-18,-18,2016-10,2016-10
Airport ATM,2016-10-08,98,80,18,529900,477800,52100,SATURDAY,National_holiday,True,WHH,Saturday,62,62,2016-10,2016-10
KK Nagar ATM,2016-10-08,110,66,44,743400,462700,280700,SATURDAY,National_holiday,True,WHH,Saturday,22,22,2016-10,2016-10
Christ College ATM,2016-10-08,149,90,59,781600,529500,252100,SATURDAY,National_holiday,True,WHH,Saturday,31,31,2016-10,2016-10
Christ College ATM,2016-10-09,67,29,38,304900,149900,155000,SUNDAY,National_holiday,True,HHH,Sunday,-9,-9,2016-10,2016-10
KK Nagar ATM,2016-10-09,15,11,4,104700,87800,16900,SUNDAY,National_holiday,True,HHH,Sunday,7,7,2016-10,2016-10
Mount Road ATM,2016-10-09,105,27,78,333000,113000,220000,SUNDAY,National_holiday,True,HHH,Sunday,-51,-51,2016-10,2016-10
Big Street ATM,2016-10-09,107,16,91,337100,78600,258500,SUNDAY,National_holiday,True,HHH,Sunday,-75,-75,2016-10,2016-10
Airport ATM,2016-10-09,69,50,19,304500,249900,54600,SUNDAY,National_holiday,True,HHH,Sunday,31,31,2016-10,2016-10
Christ College ATM,2016-10-10,82,34,48,338500,126500,212000,MONDAY,Hindu_festival,True,HHH,Monday,-14,-14,2016-10,2016-10
Big Street ATM,2016-10-10,86,26,60,198500,89800,108700,MONDAY,Hindu_festival,True,HHH,Monday,-34,-34,2016-10,2016-10
Mount Road ATM,2016-10-10,134,65,69,523000,323500,199500,MONDAY,Hindu_festival,True,HHH,Monday,-4,-4,2016-10,2016-10
Airport ATM,2016-10-10,43,34,9,309100,269200,39900,MONDAY,Hindu_festival,True,HHH,Monday,25,25,2016-10,2016-10
KK Nagar ATM,2016-10-10,169,106,63,833100,532600,300500,MONDAY,Hindu_festival,True,HHH,Monday,43,43,2016-10,2016-10
KK Nagar ATM,2016-10-11,259,171,88,1444000,993100,450900,TUESDAY,Hindu_festival,True,HHH,Tuesday,83,83,2016-10,2016-10
Big Street ATM,2016-10-11,36,9,27,48600,17700,30900,TUESDAY,Hindu_festival,True,HHH,Tuesday,-18,-18,2016-10,2016-10
Mount Road ATM,2016-10-11,81,44,37,439500,296000,143500,TUESDAY,Hindu_festival,True,HHH,Tuesday,7,7,2016-10,2016-10
Mount Road ATM,2016-10-12,20,20,0,53000,53000,0,WEDNESDAY,Muslim_festivals,True,HHW,Wednesday,20,20,2016-10,2016-10
Airport ATM,2016-10-12,4,4,0,10000,10000,0,WEDNESDAY,Muslim_festivals,True,HHW,Wednesday,4,4,2016-10,2016-10
KK Nagar ATM,2016-10-12,149,84,65,698500,412900,285600,WEDNESDAY,Muslim_festivals,True,HHW,Wednesday,19,19,2016-10,2016-10
Mount Road ATM,2016-11-01,37,35,2,264600,254100,10500,TUESDAY,National_holiday,,WWW,Tuesday,33,33,2016-11,2016-11
KK Nagar ATM,2016-11-01,64,36,28,392600,247100,145500,TUESDAY,National_holiday,,WWW,Tuesday,8,8,2016-11,2016-11
Christ College ATM,2016-11-01,141,59,82,697000,367100,329900,TUESDAY,National_holiday,,WWW,Tuesday,-23,-23,2016-11,2016-11
Christ College ATM,2016-11-02,154,60,94,808400,323900,484500,WEDNESDAY,National_holiday,,WWW,Wednesday,-34,-34,2016-11,2016-11
Big Street ATM,2016-11-02,75,24,51,357900,157300,200600,WEDNESDAY,National_holiday,,WWW,Wednesday,-27,-27,2016-11,2016-11
Mount Road ATM,2016-11-02,34,28,6,192900,163400,29500,WEDNESDAY,National_holiday,,WWW,Wednesday,22,22,2016-11,2016-11
KK Nagar ATM,2016-11-02,34,19,15,170600,97800,72800,WEDNESDAY,National_holiday,,WWW,Wednesday,4,4,2016-11,2016-11
Christ College ATM,2016-11-03,54,25,29,309700,162700,147000,THURSDAY,National_holiday,,WWW,Thursday,-4,-4,2016-11,2016-11
KK Nagar ATM,2016-11-03,89,49,40,436900,250200,186700,THURSDAY,National_holiday,,WWW,Thursday,9,9,2016-11,2016-11
Big Street ATM,2016-11-03,126,36,90,646700,255800,390900,THURSDAY,National_holiday,,WWW,Thursday,-54,-54,2016-11,2016-11
Mount Road ATM,2016-11-03,15,13,2,57800,53300,4500,THURSDAY,National_holiday,,WWW,Thursday,11,11,2016-11,2016-11
Christ College ATM,2016-11-04,1,0,1,2000,0,2000,FRIDAY,National_holiday,,WWH,Friday,-1,-1,2016-11,2016-11
KK Nagar ATM,2016-11-04,97,59,38,587800,408500,179300,FRIDAY,National_holiday,,WWH,Friday,21,21,2016-11,2016-11
Big Street ATM,2016-11-04,100,23,77,397000,178200,218800,FRIDAY,National_holiday,,WWH,Friday,-54,-54,2016-11,2016-11
Mount Road ATM,2016-11-04,36,32,4,161200,157200,4000,FRIDAY,National_holiday,,WWH,Friday,28,28,2016-11,2016-11
Big Street ATM,2016-11-05,141,37,104,654300,311900,342400,SATURDAY,National_holiday,True,WHH,Saturday,-67,-67,2016-11,2016-11
Mount Road ATM,2016-11-05,40,39,1,241600,236600,5000,SATURDAY,National_holiday,True,WHH,Saturday,38,38,2016-11,2016-11
KK Nagar ATM,2016-11-05,107,65,42,527500,343400,184100,SATURDAY,National_holiday,True,WHH,Saturday,23,23,2016-11,2016-11
Christ College ATM,2016-11-05,154,61,93,760900,323600,437300,SATURDAY,National_holiday,True,WHH,Saturday,-32,-32,2016-11,2016-11
Big Street ATM,2016-11-06,156,34,122,576800,194900,381900,SUNDAY,National_holiday,True,HHW,Sunday,-88,-88,2016-11,2016-11
Mount Road ATM,2016-11-06,21,20,1,67200,65200,2000,SUNDAY,National_holiday,True,HHW,Sunday,19,19,2016-11,2016-11
KK Nagar ATM,2016-11-06,48,35,13,182800,127700,55100,SUNDAY,National_holiday,True,HHW,Sunday,22,22,2016-11,2016-11
Christ College ATM,2016-11-06,138,57,81,535000,259500,275500,SUNDAY,National_holiday,True,HHW,Sunday,-24,-24,2016-11,2016-11
KK Nagar ATM,2016-11-07,85,58,27,405800,314800,91000,MONDAY,National_holiday,,HWW,Monday,31,31,2016-11,2016-11
Big Street ATM,2016-11-07,113,25,88,381000,138900,242100,MONDAY,National_holiday,,HWW,Monday,-63,-63,2016-11,2016-11
Mount Road ATM,2016-11-07,40,30,10,222800,164300,58500,MONDAY,National_holiday,,HWW,Monday,20,20,2016-11,2016-11
Airport ATM,2016-11-07,14,8,6,51700,19700,32000,MONDAY,National_holiday,,HWW,Monday,2,2,2016-11,2016-11
Christ College ATM,2016-11-07,107,46,61,545700,313800,231900,MONDAY,National_holiday,,HWW,Monday,-15,-15,2016-11,2016-11
Christ College ATM,2016-11-08,233,121,112,966400,639900,326500,TUESDAY,National_holiday,,WWW,Tuesday,9,9,2016-11,2016-11
KK Nagar ATM,2016-11-08,40,20,20,242400,142800,99600,TUESDAY,National_holiday,,WWW,Tuesday,0,0,2016-11,2016-11
Big Street ATM,2016-11-08,109,49,60,334400,125700,208700,TUESDAY,National_holiday,,WWW,Tuesday,-11,-11,2016-11,2016-11
Mount Road ATM,2016-11-08,51,51,0,180300,180300,0,TUESDAY,National_holiday,,WWW,Tuesday,51,51,2016-11,2016-11
Airport ATM,2016-11-08,10,8,2,77300,62300,15000,TUESDAY,National_holiday,,WWW,Tuesday,6,6,2016-11,2016-11
Big Street ATM,2016-11-11,4,4,0,8000,8000,0,FRIDAY,National_holiday,,WWH,Friday,4,4,2016-11,2016-11
KK Nagar ATM,2016-11-11,2,1,1,1500,1000,500,FRIDAY,National_holiday,,WWH,Friday,0,0,2016-11,2016-11
Big Street ATM,2016-11-12,18,3,15,29100,4100,25000,SATURDAY,National_holiday,True,WHH,Saturday,-12,-12,2016-11,2016-11
KK Nagar ATM,2016-11-12,1,0,1,500,0,500,SATURDAY,National_holiday,True,WHH,Saturday,-1,-1,2016-11,2016-11
KK Nagar ATM,2016-12-01,41,22,19,35100,16500,18600,THURSDAY,National_holiday,,WWW,Thursday,3,3,2016-12,2016-12
Airport ATM,2016-12-01,6,4,2,6500,4000,2500,THURSDAY,National_holiday,,WWW,Thursday,2,2,2016-12,2016-12
Christ College ATM,2016-12-01,1,1,0,1500,1500,0,THURSDAY,National_holiday,,WWW,Thursday,1,1,2016-12,2016-12
Big Street ATM,2016-12-01,23,6,17,36700,4000,32700,THURSDAY,National_holiday,,WWW,Thursday,-11,-11,2016-12,2016-12
Mount Road ATM,2016-12-01,1,1,0,100,100,0,THURSDAY,National_holiday,,WWW,Thursday,1,1,2016-12,2016-12
KK Nagar ATM,2016-12-07,13,10,3,5600,4900,700,WEDNESDAY,National_holiday,,WWW,Wednesday,7,7,2016-12,2016-12
Christ College ATM,2016-12-07,3,1,2,2600,2000,600,WEDNESDAY,National_holiday,,WWW,Wednesday,-1,-1,2016-12,2016-12
Airport ATM,2016-12-07,8,5,3,9400,6400,3000,WEDNESDAY,National_holiday,,WWW,Wednesday,2,2,2016-12,2016-12
KK Nagar ATM,2016-12-08,7,3,4,8900,6500,2400,THURSDAY,National_holiday,,WWW,Thursday,-1,-1,2016-12,2016-12
Airport ATM,2016-12-08,12,3,9,24000,5000,19000,THURSDAY,National_holiday,,WWW,Thursday,-6,-6,2016-12,2016-12
KK Nagar ATM,2017-01-01,1,0,1,500,0,500,SUNDAY,Christain_festival,True,HHW,Sunday,-1,-1,2017-01,2017-01
KK Nagar ATM,2017-01-02,26,10,16,42400,19100,23300,MONDAY,National_holiday,,HWW,Monday,-6,-6,2017-01,2017-01
KK Nagar ATM,2017-01-03,20,12,8,35200,12800,22400,TUESDAY,National_holiday,,WWW,Tuesday,4,4,2017-01,2017-01
KK Nagar ATM,2017-01-04,34,17,17,77900,46400,31500,WEDNESDAY,National_holiday,,WWW,Wednesday,0,0,2017-01,2017-01
KK Nagar ATM,2017-01-05,69,40,29,151800,88700,63100,THURSDAY,National_holiday,,WWW,Thursday,11,11,2017-01,2017-01
KK Nagar ATM,2017-01-06,19,12,7,22000,16900,5100,FRIDAY,National_holiday,,WWH,Friday,5,5,2017-01,2017-01
KK Nagar ATM,2017-01-07,52,31,21,111000,72500,38500,SATURDAY,National_holiday,True,WHH,Saturday,10,10,2017-01,2017-01
KK Nagar ATM,2017-01-08,45,32,13,80500,52000,28500,SUNDAY,National_holiday,True,HHW,Sunday,19,19,2017-01,2017-01
KK Nagar ATM,2017-01-09,11,8,3,34700,27200,7500,MONDAY,National_holiday,,HWW,Monday,5,5,2017-01,2017-01
Airport ATM,2017-01-09,1,1,0,2600,2600,0,MONDAY,National_holiday,,HWW,Monday,1,1,2017-01,2017-01
KK Nagar ATM,2017-01-10,21,9,12,40200,8600,31600,TUESDAY,National_holiday,,WWW,Tuesday,-3,-3,2017-01,2017-01
Airport ATM,2017-01-11,99,44,55,241400,112300,129100,WEDNESDAY,National_holiday,,WWW,Wednesday,-11,-11,2017-01,2017-01
KK Nagar ATM,2017-01-11,40,25,15,74600,49200,25400,WEDNESDAY,National_holiday,,WWW,Wednesday,10,10,2017-01,2017-01
Airport ATM,2017-01-12,43,21,22,134600,61600,73000,THURSDAY,National_holiday,,WWW,Thursday,-1,-1,2017-01,2017-01
KK Nagar ATM,2017-01-12,124,51,73,316200,136600,179600,THURSDAY,National_holiday,,WWW,Thursday,-22,-22,2017-01,2017-01
Christ College ATM,2017-02-01,313,75,238,1909500,436900,1472600,WEDNESDAY,National_holiday,,WWW,Wednesday,-163,-163,2017-02,2017-02
Airport ATM,2017-02-01,64,36,28,339000,244700,94300,WEDNESDAY,National_holiday,,WWW,Wednesday,8,8,2017-02,2017-02
KK Nagar ATM,2017-02-01,37,17,20,220100,106600,113500,WEDNESDAY,National_holiday,,WWW,Wednesday,-3,-3,2017-02,2017-02
Big Street ATM,2017-02-01,128,37,91,412700,127300,285400,WEDNESDAY,National_holiday,,WWW,Wednesday,-54,-54,2017-02,2017-02
Mount Road ATM,2017-02-01,15,6,9,99600,70000,29600,WEDNESDAY,National_holiday,,WWW,Wednesday,-3,-3,2017-02,2017-02
Big Street ATM,2017-02-02,151,36,115,554500,135700,418800,THURSDAY,National_holiday,,WWW,Thursday,-79,-79,2017-02,2017-02
Airport ATM,2017-02-02,25,11,14,135000,70000,65000,THURSDAY,National_holiday,,WWW,Thursday,-3,-3,2017-02,2017-02
KK Nagar ATM,2017-02-02,18,10,8,65100,53200,11900,THURSDAY,National_holiday,,WWW,Thursday,2,2,2017-02,2017-02
Christ College ATM,2017-02-02,267,45,222,1617200,212600,1404600,THURSDAY,National_holiday,,WWW,Thursday,-177,-177,2017-02,2017-02
Christ College ATM,2017-02-03,168,34,134,1006300,146000,860300,FRIDAY,National_holiday,,WHH,Friday,-100,-100,2017-02,2017-02
KK Nagar ATM,2017-02-03,12,9,3,52100,40600,11500,FRIDAY,National_holiday,,WHH,Friday,6,6,2017-02,2017-02
Big Street ATM,2017-02-03,99,21,78,372800,113300,259500,FRIDAY,National_holiday,,WHH,Friday,-57,-57,2017-02,2017-02
Airport ATM,2017-02-03,19,12,7,132200,66200,66000,FRIDAY,National_holiday,,WHH,Friday,5,5,2017-02,2017-02
Big Street ATM,2017-02-04,15,8,7,42900,23400,19500,SATURDAY,National_holiday,True,WHH,Saturday,1,1,2017-02,2017-02
Airport ATM,2017-02-04,45,21,24,141700,77000,64700,SATURDAY,National_holiday,True,WHH,Saturday,-3,-3,2017-02,2017-02
KK Nagar ATM,2017-02-04,69,41,28,302000,140600,161400,SATURDAY,National_holiday,True,WHH,Saturday,13,13,2017-02,2017-02
Christ College ATM,2017-02-04,132,36,96,810600,226500,584100,SATURDAY,National_holiday,True,WHH,Saturday,-60,-60,2017-02,2017-02
Airport ATM,2017-02-05,28,10,18,97900,27100,70800,SUNDAY,National_holiday,True,HHW,Sunday,-8,-8,2017-02,2017-02
Big Street ATM,2017-02-05,4,4,0,50000,50000,0,SUNDAY,National_holiday,True,HHW,Sunday,4,4,2017-02,2017-02
Christ College ATM,2017-02-05,212,17,195,1243000,102400,1140600,SUNDAY,National_holiday,True,HHW,Sunday,-178,-178,2017-02,2017-02
Christ College ATM,2017-02-06,135,38,97,694000,222200,471800,MONDAY,National_holiday,,HWW,Monday,-59,-59,2017-02,2017-02
KK Nagar ATM,2017-02-06,8,3,5,41000,23000,18000,MONDAY,National_holiday,,HWW,Monday,-2,-2,2017-02,2017-02
Big Street ATM,2017-02-06,3,3,0,15200,15200,0,MONDAY,National_holiday,,HWW,Monday,3,3,2017-02,2017-02
Airport ATM,2017-02-06,11,4,7,31100,8900,22200,MONDAY,National_holiday,,HWW,Monday,-3,-3,2017-02,2017-02
Mount Road ATM,2017-02-07,183,57,126,648800,253300,395500,TUESDAY,National_holiday,,WWW,Tuesday,-69,-69,2017-02,2017-02
Airport ATM,2017-02-07,58,34,24,179300,102500,76800,TUESDAY,National_holiday,,WWW,Tuesday,10,10,2017-02,2017-02
KK Nagar ATM,2017-02-07,31,22,9,79100,60300,18800,TUESDAY,National_holiday,,WWW,Tuesday,13,13,2017-02,2017-02
Christ College ATM,2017-02-07,220,63,157,1145700,324000,821700,TUESDAY,National_holiday,,WWW,Tuesday,-94,-94,2017-02,2017-02
Mount Road ATM,2017-02-08,97,32,65,410500,190900,219600,WEDNESDAY,National_holiday,,WWW,Wednesday,-33,-33,2017-02,2017-02
Airport ATM,2017-02-08,99,48,51,382500,210200,172300,WEDNESDAY,National_holiday,,WWW,Wednesday,-3,-3,2017-02,2017-02
KK Nagar ATM,2017-02-08,7,6,1,12100,11600,500,WEDNESDAY,National_holiday,,WWW,Wednesday,5,5,2017-02,2017-02
Christ College ATM,2017-02-08,221,58,163,1149500,343400,806100,WEDNESDAY,National_holiday,,WWW,Wednesday,-105,-105,2017-02,2017-02
Big Street ATM,2017-02-09,4,2,2,1500,1100,400,THURSDAY,National_holiday,,WWW,Thursday,0,0,2017-02,2017-02
Mount Road ATM,2017-02-09,88,21,67,380700,157600,223100,THURSDAY,National_holiday,,WWW,Thursday,-46,-46,2017-02,2017-02
Airport ATM,2017-02-09,33,21,12,155900,102900,53000,THURSDAY,National_holiday,,WWW,Thursday,9,9,2017-02,2017-02
KK Nagar ATM,2017-02-09,2,2,0,3000,3000,0,THURSDAY,National_holiday,,WWW,Thursday,2,2,2017-02,2017-02
Christ College ATM,2017-02-09,104,27,77,403900,96500,307400,THURSDAY,National_holiday,,WWW,Thursday,-50,-50,2017-02,2017-02
Airport ATM,2017-02-10,2,2,0,600,600,0,FRIDAY,National_holiday,,WWH,Friday,2,2,2017-02,2017-02
Christ College ATM,2017-02-10,99,18,81,395700,79400,316300,FRIDAY,National_holiday,,WWH,Friday,-63,-63,2017-02,2017-02
Mount Road ATM,2017-02-10,147,39,108,492300,198600,293700,FRIDAY,National_holiday,,WWH,Friday,-69,-69,2017-02,2017-02
Big Street ATM,2017-02-10,1,1,0,2000,2000,0,FRIDAY,National_holiday,,WWH,Friday,1,1,2017-02,2017-02
Mount Road ATM,2017-02-11,180,54,126,799400,255700,543700,SATURDAY,National_holiday,True,WHH,Saturday,-72,-72,2017-02,2017-02
KK Nagar ATM,2017-02-11,14,9,5,20300,16200,4100,SATURDAY,National_holiday,True,WHH,Saturday,4,4,2017-02,2017-02
Christ College ATM,2017-02-11,19,4,15,96300,9200,87100,SATURDAY,National_holiday,True,WHH,Saturday,-11,-11,2017-02,2017-02
Mount Road ATM,2017-02-12,53,16,37,138400,42200,96200,SUNDAY,National_holiday,True,HHW,Sunday,-21,-21,2017-02,2017-02
Big Street ATM,2017-03-01,46,15,31,156000,91700,64300,WEDNESDAY,National_holiday,,WWW,Wednesday,-16,-16,2017-03,2017-03
Mount Road ATM,2017-03-01,4,3,1,31000,28000,3000,WEDNESDAY,National_holiday,,WWW,Wednesday,2,2,2017-03,2017-03
Airport ATM,2017-03-01,6,4,2,23300,21200,2100,WEDNESDAY,National_holiday,,WWW,Wednesday,2,2,2017-03,2017-03
KK Nagar ATM,2017-03-01,9,5,4,42400,20400,22000,WEDNESDAY,National_holiday,,WWW,Wednesday,1,1,2017-03,2017-03
Christ College ATM,2017-03-01,275,56,219,1539900,360900,1179000,WEDNESDAY,National_holiday,,WWW,Wednesday,-163,-163,2017-03,2017-03
Big Street ATM,2017-03-02,110,29,81,515000,225100,289900,THURSDAY,National_holiday,,WWW,Thursday,-52,-52,2017-03,2017-03
Airport ATM,2017-03-02,1,1,0,3000,3000,0,THURSDAY,National_holiday,,WWW,Thursday,1,1,2017-03,2017-03
KK Nagar ATM,2017-03-02,32,14,18,225500,108400,117100,THURSDAY,National_holiday,,WWW,Thursday,-4,-4,2017-03,2017-03
Christ College ATM,2017-03-02,301,64,237,1614300,382600,1231700,THURSDAY,National_holiday,,WWW,Thursday,-173,-173,2017-03,2017-03
Christ College ATM,2017-03-03,140,37,103,673200,157600,515600,FRIDAY,National_holiday,,WWH,Friday,-66,-66,2017-03,2017-03
KK Nagar ATM,2017-03-03,2,2,0,7000,7000,0,FRIDAY,National_holiday,,WWH,Friday,2,2,2017-03,2017-03
Big Street ATM,2017-03-03,79,32,47,286200,150300,135900,FRIDAY,National_holiday,,WWH,Friday,-15,-15,2017-03,2017-03
Airport ATM,2017-03-03,9,8,1,18300,17800,500,FRIDAY,National_holiday,,WWH,Friday,7,7,2017-03,2017-03
Big Street ATM,2017-03-04,74,15,59,253500,76800,176700,SATURDAY,National_holiday,True,WHH,Saturday,-44,-44,2017-03,2017-03
Mount Road ATM,2017-03-04,1,1,0,2000,2000,0,SATURDAY,National_holiday,True,WHH,Saturday,1,1,2017-03,2017-03
Airport ATM,2017-03-04,54,30,24,151800,73500,78300,SATURDAY,National_holiday,True,WHH,Saturday,6,6,2017-03,2017-03
KK Nagar ATM,2017-03-04,21,18,3,237800,217300,20500,SATURDAY,National_holiday,True,WHH,Saturday,15,15,2017-03,2017-03
Christ College ATM,2017-03-04,264,97,167,1462500,585200,877300,SATURDAY,National_holiday,True,WHH,Saturday,-70,-70,2017-03,2017-03
Big Street ATM,2017-03-05,69,15,54,309200,87700,221500,SUNDAY,National_holiday,True,HHW,Sunday,-39,-39,2017-03,2017-03
Airport ATM,2017-03-05,101,71,30,573300,489600,83700,SUNDAY,National_holiday,True,HHW,Sunday,41,41,2017-03,2017-03
KK Nagar ATM,2017-03-05,1,1,0,100,100,0,SUNDAY,National_holiday,True,HHW,Sunday,1,1,2017-03,2017-03
Christ College ATM,2017-03-05,139,35,104,511500,163600,347900,SUNDAY,National_holiday,True,HHW,Sunday,-69,-69,2017-03,2017-03
Big Street ATM,2017-03-06,79,28,51,249100,96100,153000,MONDAY,National_holiday,,HWW,Monday,-23,-23,2017-03,2017-03
Mount Road ATM,2017-03-06,150,54,96,621800,301700,320100,MONDAY,National_holiday,,HWW,Monday,-42,-42,2017-03,2017-03
Airport ATM,2017-03-06,56,44,12,249100,224400,24700,MONDAY,National_holiday,,HWW,Monday,32,32,2017-03,2017-03
Christ College ATM,2017-03-06,225,51,174,936100,264500,671600,MONDAY,National_holiday,,HWW,Monday,-123,-123,2017-03,2017-03
Christ College ATM,2017-03-07,173,55,118,1090500,479300,611200,TUESDAY,National_holiday,,WWW,Tuesday,-63,-63,2017-03,2017-03
Airport ATM,2017-03-07,3,3,0,10600,10600,0,TUESDAY,National_holiday,,WWW,Tuesday,3,3,2017-03,2017-03
Big Street ATM,2017-03-07,55,23,32,244800,152500,92300,TUESDAY,National_holiday,,WWW,Tuesday,-9,-9,2017-03,2017-03
Mount Road ATM,2017-03-07,21,14,7,159500,143500,16000,TUESDAY,National_holiday,,WWW,Tuesday,7,7,2017-03,2017-03
Big Street ATM,2017-03-08,69,35,34,252500,188700,63800,WEDNESDAY,National_holiday,,WWW,Wednesday,1,1,2017-03,2017-03
Christ College ATM,2017-03-08,202,65,137,843000,347600,495400,WEDNESDAY,National_holiday,,WWW,Wednesday,-72,-72,2017-03,2017-03
Big Street ATM,2017-03-09,81,23,58,327500,162400,165100,THURSDAY,National_holiday,,WWW,Thursday,-35,-35,2017-03,2017-03
Christ College ATM,2017-03-09,267,70,197,1175700,378100,797600,THURSDAY,National_holiday,,WWW,Thursday,-127,-127,2017-03,2017-03
Christ College ATM,2017-03-10,135,34,101,734500,242100,492400,FRIDAY,National_holiday,,WWH,Friday,-67,-67,2017-03,2017-03
Big Street ATM,2017-03-10,67,20,47,207400,80300,127100,FRIDAY,National_holiday,,WWH,Friday,-27,-27,2017-03,2017-03
Mount Road ATM,2017-03-10,46,19,27,131800,65000,66800,FRIDAY,National_holiday,,WWH,Friday,-8,-8,2017-03,2017-03
